Content:,Emissions by country and main source category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound:,CH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start year:,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End year:,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:,kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite the dataset: EDGAR (Emissions Database for Global Atmospheric Research) Community GHG Database (a collaboration between the European Commission, Joint Research Centre (JRC), the International Energy Agency (IEA), and comprising IEA-EDGAR CO2, EDGAR CH4, EDGAR N2O, EDGAR F-GASES version 7.0, (2022) European Commission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Users of the data are obliged to acknowledge the source of the data with a reference to the EDGARv7.0_GHG website (https://edgar.jrc.ec.europa.eu/dataset_ghg70), to Crippa et. al. (2022) and to the DOI (https://data.europa.eu/doi/10.2904/JRC_DATASET_EDGAR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data download:,https://edgar.jrc.ec.europa.eu/dataset_ghg70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,bio,6.71905E-06,6.42359E-06,6.43518E-06,6.42198E-06,6.3641E-06,2.26148E-05,2.09533E-05,2.58676E-05,2.53073E-05,2.88975E-05,5.03521E-06,5.30166E-06,5.33151E-06,4.65392E-06,4.48011E-06,4.6846E-06,4.78291E-06,,,,0.000161621,0.000168673,0.000156215,0.0001552,0.000138174,0.000144426,0.000158549,0.00016111,0.000219255,0.000452139,0.000322084,0.00032909,0.00035196,0.000328877,0.00039285,0.000306882,0.00030828,0.000316508,0.000293419,0.000291827,0.000348195,0.000335526,0.000401281,0.00071143,0.00074912,0.000891239,0.000731624,0.00075273,0.000928999,0.000976683,0.00101367,0.00101367
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,bio,0.003668602,0.003507283,0.002851479,0.002792001,0.00298872,0.002577588,0.00245796,0.002197405,0.002430663,0.002312491,0.002192359,0.002254063,0.002286786,0.001812892,0.001680042,0.001760651,0.001932296,0.001700438,0.001458983,0.001384954,0.000994492,0.001117446,0.001271953,0.001251596,0.001189691,0.001204304,0.001281758,0.001271974,0.001177237,0.001122537,0.001350307,0.001379678,0.001554992,0.001488352,0.001639851,0.001440072,0.001461396,0.001403346,0.001310925,0.001297027,0.002422562,0.003294736,0.002956959,0.002065971,0.002067016,0.002213598,0.00235595,0.002877866,0.002285434,0.002357465,0.002513208,0.002513208
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,CH4,bio,0.002518056,0.002414618,0.002422086,0.002403567,0.002400079,0.002252824,0.00212459,0.002053816,0.002028329,0.001933803,0.002121449,0.002241056,0.002277888,0.002023515,0.002073474,0.002230057,0.002315935,0.002070349,0.002000553,0.002104332,0.008509691,0.003942489,0.003896223,0.004382491,0.004210093,0.004281603,0.004286578,0.004313709,0.004600185,0.004678567,0.003861427,0.003960976,0.004000889,0.004077745,0.004129035,0.004262202,0.004286369,0.004063325,0.004305652,0.005399514,0.006998692,0.013014378,0.013824496,0.012871021,0.014355882,0.012984469,0.014026822,0.013959588,0.014064361,0.010885573,0.016768604,0.016768604
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,CH4,bio,0.000144653,0.000140114,0.000141145,0.000156994,0.000156253,0.000152833,0.000131089,0.000128106,0.0001273,0.000121235,0.000119255,0.000123238,0.000123357,0.000111842,0.000152217,0.000167346,0.000160666,0.000154166,0.000142815,0.000136159,0.000133915,0.000133569,0.000131833,0.000127365,0.000162454,0.000162011,0.000160424,0.000154799,0.001408757,0.001461315,0.001844711,0.001900393,0.001968873,0.002076565,0.002485851,0.002478005,0.002585488,0.002785901,0.000940738,0.003235267,0.003383029,0.004465821,0.004678275,0.004692388,0.005012845,0.005642234,0.005374688,0.005613624,0.005825256,0.005671361,0.00654709,0.00654709
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,CH4,bio,0.004200397,0.004123648,0.004260322,0.004395451,0.004354084,0.004417864,0.00511444,0.004966237,0.005029809,0.005600528,0.003865447,0.003832392,0.003767055,0.003530257,0.004212551,0.004763363,0.004888092,0.004210238,0.004600987,0.00429203,0.005558371,0.006235731,0.004852374,0.00552973,0.005599293,0.005547254,0.005476139,0.00641244,0.006690888,0.006767664,0.012577774,0.012818672,0.015074904,0.015275497,0.015431747,0.016770225,0.017971315,0.017895778,0.017989795,0.019055485,0.026833522,0.062745541,0.064705897,0.059230506,0.063548468,0.065383043,0.061914218,0.06346385,0.064290874,0.067368391,0.070344505,0.070344505
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.000466491,0.000466491,0.000462173,0.000542737,0.00051077,0.000540823,0.000632105,0.00064996,0.00074727,0.000659379,0.000674234,0.000599976,0.000556283,0.000584309,0.00066137,0.000664669,0.000686692,0.000675716,0.002496366,0.002566505,0.002721463,0.003287189,0.003926,0.004535025,0.005136557,0.006199125,0.00407219,0.006418362,0.006820239,0.00578335,0.006802847,0.007035516,0.007526567,0.009937212,0.010321035,0.010754827,0.010503889,0.010785935,0.010454896,0.011035404,0.011770628,0.011187062,0.013414988,0.012889001,0.013037567,0.013285631,0.013035602,0.011153654,0.010928884,0.011208106,0.00925,0.010305541
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,CH4,fossil,1.91805E-05,1.91805E-05,2.08483E-05,1.78421E-05,1.95099E-05,2.18535E-05,2.42535E-05,2.53152E-05,2.65378E-05,2.6262E-05,3.19045E-05,3.78244E-05,2.97873E-05,4.09134E-05,4.5023E-05,5.06106E-05,7.7007E-05,0.000230857,0.000782316,0.000918254,0.000792871,0.000910531,0.000962965,0.002626547,0.002854779,0.001281255,0.000811342,0.001098802,0.002446612,0.002467759,0.002590025,0.002351007,0.002425513,0.002533714,0.003010297,0.002314441,0.002122273,0.002099854,0.001829035,0.00189656,0.001952104,0.002322836,0.004801919,0.00444763,0.004977152,0.004705895,0.004165536,0.003794455,0.004239963,0.004370718,0.003633063,0.004041208
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,CH4,fossil,1.1171E-05,1.1171E-05,4.63442E-06,8.42271E-06,1.01103E-05,9.05519E-06,8.41048E-06,8.41048E-06,9.2519E-06,9.04202E-06,8.62319E-06,1.01364E-05,1.06391E-05,9.81538E-06,9.69003E-06,1.50319E-05,1.29253E-05,1.56615E-05,5.2277E-05,8.60348E-05,9.3027E-05,0.000111719,0.00012607,0.000118818,0.000133079,0.000144409,9.57949E-05,0.000147041,0.000110994,0.000116454,5.17198E-05,5.19926E-05,4.61808E-05,6.13377E-05,8.13184E-05,8.9504E-05,8.95651E-05,9.03338E-05,9.22208E-05,8.93471E-05,2.83438E-05,3.44688E-05,4.80055E-05,4.2049E-05,4.04057E-05,4.36805E-05,4.43152E-05,4.25328E-05,4.38087E-05,4.51684E-05,2.18977E-05,2.50203E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,0.000789848,0.000789446,0.000785738,0.000925548,0.000954394,0.001559895,0.001609083,0.001743925,0.00178066,0.00146258,0.002713707,0.002832792,0.003216694,0.003766348,0.004657177,0.004388556,0.003953973,0.004715461,0.017524568,0.021525198,0.02187291,0.026608041,0.032358163,0.031149009,0.035324101,0.038333331,0.025076703,0.042768829,0.057221998,0.063390216,0.071496196,0.071543076,0.06193984,0.07321826,0.076501444,0.083641094,0.074275658,0.072871206,0.066213293,0.076654806,0.069419732,0.064611136,0.077015072,0.077486333,0.079386506,0.076232526,0.071123743,0.069668339,0.073501271,0.075782424,0.062542897,0.069679826
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.d,Water-borne Navigation,CH4,fossil,,,,,,,,,,,2.0661E-05,2.07472E-05,2.13404E-05,2.82687E-05,3.02217E-05,2.96338E-05,,,1.12633E-05,1.31087E-05,1.2871E-05,,,,,1.84693E-05,1.22523E-05,1.86322E-05,1.8139E-05,0.000203076,0.000232514,0.000233741,0.000257904,0.000275791,0.000280758,0.000191462,0.00023617,0.000228277,0.000215108,0.000225762,0.000273168,0.000202644,0.001266382,0.001273781,0.001403273,0.001427865,0.001401292,0.001362129,0.001264621,0.00130385,0.001076061,0.001198853
