Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
61.555,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726017826416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.621,40.293,0.0,0.51371798004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.641,39.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26818374728833,0.0,0.0
54.179,37.636,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.213,38.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.451,37.88,0.0,0.0,0.0,1.898773597344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.31,40.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4878060799999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.744,39.473,0.0,0.56104533,0.0,0.0,0.0,0.0,12.12967216224,1.195787151216,4.732415741912082,1.97042632632,14.079812593772623,8.003818961638085,6.344119618904253,18.544122762206236,3.637157258592,11.093952638627432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.451,38.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65790203328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.806,38.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83755416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.564,36.431,0.0,0.0,0.6678322458930255,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.111,38.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739468800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.836,39.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6157717351838508,3.5556352197329346,0.0
54.247,39.372,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.495,39.57,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.828,39.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.645367366468901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.621,37.853,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.738,38.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2455175999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.29,40.8,11.749821478385932,4.118002231176542,0.43765171610111,13.289505799324068,2.0938368216343943,1.03283704045336,4.377926924430887,11.316733037115261,16.468829460721693,1.2584807466179637,4.351691928975178,0.74117927592,0.45698242955039997,0.7467283269437343,2.2785839780700243,3.378646158060429,6.225122689917546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.444589279999999,0.0
54.198,38.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06367745488,4.140771736872495,0.4582506704855999,1.0415547366239999
61.698,36.511,0.0,0.0,0.0,0.0,1.1909008116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,37.184,0.0,0.0,1.6224935999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.743,39.474,0.0,1.54138307652,2.02156248,3.4366060948320003,0.0,0.634369267728,2.4181560117564462,10.353325677789694,2.7078950421560855,,7.176429564929546,4.594299703154657,1.1110750455789105,1.976557699778695,3.6591129934721995,1.0084637095855082,5.050402365336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46478600272,0.0
61.673,36.512,0.0,0.0,0.0,0.0,1.3768217558384825e-06,4.65787157503597,0.0,0.0,0.0,0.0,0.0,0.0,1.8850299888000002,0.32637772577279994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.542,36.402,0.0,0.0,1.37044336248,0.0,,0.0,2.2700519999999997,0.0,0.0,3.3406178399999997,0.0,0.0,0.0,0.0,1.69308672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.67,37.961,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.663,36.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4059060467999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.876,39.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516070105855999,0.0,0.0,0.0
54.203,38.51,0.0,0.0,0.0,0.0,0.0,0.0,1.3902247114559998,0.0,0.0,0.0,0.0,0.0,0.0,2.4403759151039996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4571553294079997,0.0,0.0
54.587,39.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.46853554245122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.28,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05445187928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.638,39.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0770354329823373,1.39389662232,10.528124879999998
62.806,38.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83820064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
